date,close,high,low,trade_count,open,volume,vwap,symbol
2025-02-04 05:00:00+00:00,232.81,233.13,226.66,16088,227.25,1318554,231.058801,AAPL
2025-02-05 05:00:00+00:00,232.45,232.665,228.3,11762,228.31,920706,230.301674,AAPL
2025-02-06 05:00:00+00:00,233.175,233.775,230.45,10528,231.325,782002,232.193964,AAPL
2025-02-07 05:00:00+00:00,227.68,234.0,227.27,12691,232.405,927073,229.375907,AAPL
2025-02-10 05:00:00+00:00,227.66,230.58,227.205,10018,229.58,734280,228.766555,AAPL
2025-02-11 05:00:00+00:00,232.59,235.225,228.2,15176,228.2,1201805,232.745324,AAPL
2025-02-12 05:00:00+00:00,236.83,236.92,230.765,16032,231.18,1238524,234.725862,AAPL
2025-02-13 05:00:00+00:00,241.49,242.33,235.6,14323,236.97,1214691,240.02455,AAPL
2025-02-14 05:00:00+00:00,244.6,245.41,241.21,14743,241.21,1220858,243.98602,AAPL
2025-02-18 05:00:00+00:00,244.45,245.15,241.885,15707,244.12,1233762,243.836702,AAPL
2025-02-19 05:00:00+00:00,244.9,246.0,243.18,9829,244.67,714274,244.669407,AAPL
2025-02-20 05:00:00+00:00,245.84,246.66,244.31,13053,244.925,930650,245.583091,AAPL
2025-02-21 05:00:00+00:00,245.68,248.69,245.23,19264,245.91,1444119,246.533569,AAPL
2025-02-04 05:00:00+00:00,392.19,393.94,381.41,10795,382.51,574785,386.782522,TSLA
2025-02-05 05:00:00+00:00,378.01,388.21,375.58,12560,387.44,608211,381.354292,TSLA
2025-02-06 05:00:00+00:00,373.835,375.23,363.3,10496,373.14,574865,368.649925,TSLA
2025-02-07 05:00:00+00:00,361.47,380.28,360.4,12277,370.16,630144,368.533111,TSLA
2025-02-10 05:00:00+00:00,350.655,362.63,350.535,11269,356.2,683263,355.664177,TSLA
2025-02-11 05:00:00+00:00,328.505,349.29,325.13,18207,345.6,1110698,334.336254,TSLA
2025-02-12 05:00:00+00:00,336.44,346.36,329.23,14119,330.0,846124,340.042263,TSLA
2025-02-13 05:00:00+00:00,355.98,358.56,342.87,12435,345.1,671773,352.647769,TSLA
2025-02-14 05:00:00+00:00,355.92,361.92,347.625,12578,360.53,661557,353.056027,TSLA
2025-02-18 05:00:00+00:00,354.1,358.99,350.04,7256,355.01,314047,354.37237,TSLA
2025-02-19 05:00:00+00:00,360.55,367.34,353.82,10202,353.93,517848,361.873317,TSLA
2025-02-20 05:00:00+00:00,354.44,362.3,348.03,8452,361.7,433006,352.823032,TSLA
2025-02-21 05:00:00+00:00,337.66,354.92,334.485,14279,353.31,831385,340.384301,TSLA
2025-02-04 05:00:00+00:00,412.21,413.86,409.795,9795,411.89,536286,411.817124,MSFT
2025-02-05 05:00:00+00:00,413.265,413.7,410.47,8956,411.51,446094,412.469246,MSFT
2025-02-06 05:00:00+00:00,415.74,418.17,414.125,8366,414.34,439620,416.037881,MSFT
2025-02-07 05:00:00+00:00,409.75,418.61,408.14,11438,416.145,598502,411.40109,MSFT
2025-02-10 05:00:00+00:00,412.2,415.455,410.945,10772,413.685,495128,412.646894,MSFT
2025-02-11 05:00:00+00:00,411.5,412.49,409.365,5256,409.565,266324,410.848373,MSFT
2025-02-12 05:00:00+00:00,408.9,410.715,404.39,8887,407.375,591021,408.932522,MSFT
2025-02-13 05:00:00+00:00,410.53,410.985,406.42,8686,407.245,451882,408.810287,MSFT
2025-02-14 05:00:00+00:00,408.33,408.83,405.92,9688,407.72,547429,407.473998,MSFT
2025-02-18 05:00:00+00:00,409.58,410.56,406.54,7592,408.035,363578,408.498387,MSFT
2025-02-19 05:00:00+00:00,414.815,415.48,407.65,9475,408.485,591677,411.052641,MSFT
2025-02-20 05:00:00+00:00,416.06,419.26,412.74,10421,415.43,533906,416.543614,MSFT
2025-02-21 05:00:00+00:00,408.27,417.98,407.965,9992,417.55,537400,411.815163,MSFT
